Time,longitude,latitude
0,116.36101,39.92708
1,116.3321,39.92696
2,116.31042,39.98432
3,116.35905,39.9875
4,116.29737,39.97203
5,116.45578,39.91676
6,116.21547,39.95358
7,116.35909,39.90599
8,116.56259,40.03335
9,116.31476,39.92687
10,116.39359,39.93944
11,116.58417,40.05599
12,116.4641,39.96884
13,116.48079,39.90477
14,116.45662,39.90671
15,116.47264,39.80146
16,116.45559,39.96294
17,116.53947,39.74569
18,116.32175,39.84796
19,116.38977,39.89895
20,116.41551,39.86173
21,116.54127,39.96337
22,116.45578,39.8921
23,116.68511,39.91411
24,116.31488,39.88752
25,116.56002,40.11433
26,116.42782,39.92433
27,116.53875,40.0558
28,116.54947,40.11275
29,116.4116,39.9675
30,116.56485,40.07083
31,116.25615,39.87945
32,116.41232,39.89577
33,116.54753,40.10542
34,116.48546,39.90669
35,116.35752,39.88555
36,116.44175,39.98404
37,116.47563,39.90698
38,116.50278,39.95432
39,116.42015,39.86971
40,116.46195,39.94281
41,116.43323,39.90718
42,116.43778,39.89526
43,116.30262,39.90742
44,116.34285,39.83008
45,116.37835,39.89848
46,116.36853,39.93137
47,116.32125,39.89193
48,116.26167,39.89578
49,116.28143,39.83663
50,116.49048,39.90663
51,116.30083,39.8805
52,116.41122,39.92278
53,116.51093,40.01218
54,116.34265,40.00598
55,116.33857,39.92155
56,116.37485,39.86917
57,116.48368,39.941
58,116.33571,39.87932
59,116.41403,39.94812
60,116.35989,39.89815
61,116.32059,39.8889
62,116.30427,39.94094
63,116.37323,39.89154
64,116.35015,39.92184
65,116.3424,39.8918
66,116.33245,39.89602
67,116.31174,39.87482
68,116.31481,39.89489
69,116.42041,39.98733
70,116.35175,39.93908
71,116.31767,39.95308
72,116.28541,39.90656
73,116.51499,39.92166
74,116.32899,39.95627
75,116.32038,39.92224
76,116.49756,39.99589
77,116.45511,39.88497
78,116.41808,39.99329
79,116.47303,39.97091
80,116.36495,39.85023
81,116.32998,39.87097
82,116.42836,39.88295
83,116.40868,39.8038
84,116.34471,39.86743
85,116.30932,39.90984
86,116.44569,39.80521
87,116.32275,39.78591
88,116.45475,39.90356
89,116.37755,39.93166
90,116.44526,39.79895
91,116.3039,39.94042
92,116.33202,39.84758
93,116.29318,39.77997
94,116.3888,39.94755
95,116.31867,39.84942
96,116.29352,39.94448
97,116.38352,39.96688
98,116.31065,39.89805
99,116.41172,39.91292
100,116.37287,39.9568
